"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
NA,NA,"TM2D3",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SLC39A14",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"LINC01503",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BOLA3",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"B4GALT4",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CAMK2G",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MAFG",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CENPT",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"NAT9",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ME2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CTDP1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZSCAN29",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"NCF2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"KMT2C",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"EXTL2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"DHX36",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SBNO1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZNFX1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PARG",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PLPPR2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PLD2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CCDC85C",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MPV17L2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"THAP7",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"DAAM1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"IL1R1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"RAB11FIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"NDFIP2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MYL12A",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PCCA-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CLDN14",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOP3A",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TAOK2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZBTB48",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SMAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"IRF2BPL",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SLC1A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GOLGA2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"LEMD2",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ABHD8",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"LGI3",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZFYVE27",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PBX3",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"KIAA0753",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"FBXO38",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PDE8A",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TAF6",NA,NA,NA,NA,NA,NA,NA,NA,NA
